sample_rate,channels,duration_sec,format,file_name,species_name,tier
44100,1,2.5309750566893423,MP3,Platycleis_affinis_IN232353073_1146351.mp3,Platycleis_affinis,tier_3
44100,1,16.718367346938777,MP3,Pterophylla_camellifolia_IN180087302_799520.mp3,Pterophylla_camellifolia,tier_1
44100,1,7.700317460317461,MP3,Platycleis_sabulosa_IN232318639_1146206.mp3,Platycleis_sabulosa,tier_4
44100,1,10.054240362811791,MP3,Eumodicogryllus_bordigalensis_IN231583058_1142992.mp3,Eumodicogryllus_bordigalensis,tier_2
44100,1,12.979954648526077,WAV,Oecanthus_rileyi_IN187119712_828857.wav,Oecanthus_rileyi,tier_3
44100,1,19.52798185941043,MP3,Tettigonia_cantans_IN230528564_1138164.mp3,Tettigonia_cantans,tier_2
44100,1,20.36390022675737,MP3,Tettigonia_cantans_IN230527021_1138148.mp3,Tettigonia_cantans,tier_2
44100,1,4.9458503401360545,MP3,Lea_floridensis_IN231542956_1142848.mp3,Lea_floridensis,tier_4
44100,1,17.124331065759637,MP3,Allonemobius_tinnulus_IN132473161_527174.mp3,Allonemobius_tinnulus,tier_4
44100,1,18.250884353741498,MP3,Pterophylla_camellifolia_IN180087305_799521.mp3,Pterophylla_camellifolia,tier_1
44100,1,7.569705215419501,MP3,Pterophylla_camellifolia_IN226367174_1116245.mp3,Pterophylla_camellifolia,tier_1
44100,1,20.494126984126986,MP3,Gryllus_pennsylvanicus_IN132861496_528369.mp3,Gryllus_pennsylvanicus,tier_2
44100,1,10.820498866213152,MP3,Neoconocephalus_ensiger_IN231761386_1143604.mp3,Neoconocephalus_ensiger,tier_3
48000,1,65.64266666666667,MP3,Tettigonia_viridissima_IN231796621_1143760.mp3,Tettigonia_viridissima,tier_2
44100,1,21.455238095238094,MP3,Pterophylla_camellifolia_IN230223022_1136461.mp3,Pterophylla_camellifolia,tier_1
44100,1,43.932154195011336,MP3,Tettigonia_viridissima_IN231696798_1143345.mp3,Tettigonia_viridissima,tier_2
44100,1,7.939773242630386,MP3,Platycleis_sabulosa_IN232318644_1146222.mp3,Platycleis_sabulosa,tier_4
44100,1,25.007891156462584,MP3,Pterophylla_camellifolia_IN180373674_800710.mp3,Pterophylla_camellifolia,tier_1
44100,1,11.175011337868481,MP3,Oecanthus_dulcisonans_IN232353068_1146352.mp3,Oecanthus_dulcisonans,tier_3
44100,1,8.614331065759638,MP3,Oecanthus_dulcisonans_IN232318641_1146215.mp3,Oecanthus_dulcisonans,tier_3
44100,1,8.17342403628118,MP3,Oecanthus_fultoni_IN231743200_1143852.mp3,Oecanthus_fultoni,tier_3
48000,1,33.92,MP3,Oecanthus_pellucens_IN232284440_1146456.mp3,Oecanthus_pellucens,tier_2
44100,1,5.6656689342403626,MP3,Oecanthus_pellucens_IN231416679_1142351.mp3,Oecanthus_pellucens,tier_2
48000,1,4.041666666666667,WAV,Gryllus_campestris_IN213696820_1019475.wav,Gryllus_campestris,tier_2
48000,1,45.56816666666667,WAV,Gryllus_bimaculatus_IN231502263_1142658.wav,Gryllus_bimaculatus,tier_2
44100,1,8.126984126984127,MP3,Tettigonia_viridissima_IN229082203_1131087.mp3,Tettigonia_viridissima,tier_2
44100,1,29.6518820861678,MP3,Pterophylla_camellifolia_IN231071676_1140721.mp3,Pterophylla_camellifolia,tier_1
44100,1,9.566621315192744,MP3,Pterophylla_camellifolia_IN232171516_1145504.mp3,Pterophylla_camellifolia,tier_1
48000,1,17.066666666666666,MP3,Microcentrum_rhombifolium_IN188621178_835466.mp3,Microcentrum_rhombifolium,tier_2
44100,1,21.385578231292516,MP3,Neocurtilla_hexadactyla_IN213525028_1017835.mp3,Neocurtilla_hexadactyla,tier_3
44100,1,9.7059410430839,MP3,Oecanthus_pellucens_IN232347066_1146343.mp3,Oecanthus_pellucens,tier_2
44100,1,13.931972789115646,MP3,Pterophylla_camellifolia_IN232402837_1146538.mp3,Pterophylla_camellifolia,tier_1
44100,1,5.201269841269841,MP3,Pterophylla_camellifolia_IN232628621_1147486.mp3,Pterophylla_camellifolia,tier_1
44100,1,10.866938775510205,MP3,Pholidoptera_griseoaptera_IN231404253_1142289.mp3,Pholidoptera_griseoaptera,tier_2
